StudyID,Study,Cost Type,Cost description,Arm
21983,Q001 - Study Group,subject,Visit 1,Standard Arm
21983,Q001 - Study Group,subject,Visit 22,Standard Arm
21983,Q001 - Study Group,subject,×þÞß 객 갞 갟,చ ఛ జ ఝ ఞ ట ×þÞß
21983,Q001 - Study Group,subject,óíèãçã1,x¡¢¤§1
21983,Q001 - Study Group,subject,óíèãçã1,갌 갍 갎 갏 감1
21983,Q001 - Study Group,subject,óíèãçã1,óíèãçã1
21983,Q001 - Study Group,subject,Visit 2,Standard Arm
21983,Q001 - Study Group,subject,Visit 23,Standard Arm
21983,Q001 - Study Group,subject,Screen,Standard Arm
21983,Q001 - Study Group,subject,亂 卵 欄 爛 蘭 鸞 嵐 濫,చ ఛ జ ఝ ఞ ట ×þÞß
21983,Q001 - Study Group,subject,갌 갍 갎 갏 감1,x¡¢¤§1
21983,Q001 - Study Group,subject,갌 갍 갎 갏 감1,óíèãçã1
21983,Q001 - Study Group,subject,Visit 3,Standard Arm
21983,Q001 - Study Group,subject,Visit 3,A2
21983,Q001 - Study Group,subject,Visit 24,Standard Arm
21983,Q001 - Study Group,subject,This is visit type of negotiation,చ ఛ జ ఝ ఞ ట ×þÞß
21983,Q001 - Study Group,subject,This is visit type of negotiation,Standard Arm
21983,Q001 - Study Group,subject,x¡¢¤§1,x¡¢¤§1
21983,Q001 - Study Group,subject,x¡¢¤§1,갌 갍 갎 갏 감1
21983,Q001 - Study Group,subject,x¡¢¤§1,óíèãçã1
21983,Q001 - Study Group,subject,Visit 4,Standard Arm
21983,Q001 - Study Group,subject,Visit 25,Standard Arm
21983,Q001 - Study Group,subject,Visit 5,Standard Arm
21983,Q001 - Study Group,subject,Visit 26,Standard Arm
21983,Q001 - Study Group,subject,Visit 27,Standard Arm
21983,Q001 - Study Group,subject,name,Standard Arm
21983,Q001 - Study Group,subject,Visit 28,Standard Arm
21983,Q001 - Study Group,subject,Visit 29,Standard Arm
21983,Q001 - Study Group,subject,Visit 6,Standard Arm
21983,Q001 - Study Group,subject,Visit 6,A2
21983,Q001 - Study Group,subject,Visit 30,Standard Arm
21983,Q001 - Study Group,subject,Visit 7,Standard Arm
21983,Q001 - Study Group,subject,Visit 7,A2
21983,Q001 - Study Group,subject,Visit 31,Standard Arm
21983,Q001 - Study Group,subject,Visit 8,Standard Arm
21983,Q001 - Study Group,subject,Visit 8,A2
21983,Q001 - Study Group,subject,Visit 32,Standard Arm
21983,Q001 - Study Group,subject,Visit 9,Standard Arm
21983,Q001 - Study Group,subject,Visit 9,A2
21983,Q001 - Study Group,subject,Visit 33,Standard Arm
21983,Q001 - Study Group,subject,Visit 10,Standard Arm
21983,Q001 - Study Group,subject,Visit 10,A2
21983,Q001 - Study Group,subject,Visit 34,Standard Arm
21983,Q001 - Study Group,subject,Visit 11,Standard Arm
21983,Q001 - Study Group,subject,Visit 11,A2
21983,Q001 - Study Group,subject,Visit 35,Standard Arm
21983,Q001 - Study Group,subject,Visit 12,Standard Arm
21983,Q001 - Study Group,subject,Visit 12,A2
21983,Q001 - Study Group,subject,Visit 36,Standard Arm
21983,Q001 - Study Group,subject,Visit 13,Standard Arm
21983,Q001 - Study Group,subject,Visit 13,A2
21983,Q001 - Study Group,subject,Visit 37,Standard Arm
21983,Q001 - Study Group,subject,Visit 14,Standard Arm
21983,Q001 - Study Group,subject,Visit 14,A2
21983,Q001 - Study Group,subject,Visit 38,Standard Arm
21983,Q001 - Study Group,subject,Visit 15,Standard Arm
21983,Q001 - Study Group,subject,Visit 15,A2
21983,Q001 - Study Group,subject,Visit 39,Standard Arm
21983,Q001 - Study Group,subject,Visit 16,Standard Arm
21983,Q001 - Study Group,subject,Visit 16,A2
21983,Q001 - Study Group,subject,Visit 40,Standard Arm
21983,Q001 - Study Group,subject,Visit 17,Standard Arm
21983,Q001 - Study Group,subject,Visit 17,A2
21983,Q001 - Study Group,subject,Visit 41,Standard Arm
21983,Q001 - Study Group,subject,Visit 18,Standard Arm
21983,Q001 - Study Group,subject,Visit 18,A2
21983,Q001 - Study Group,subject,Visit 42,Standard Arm
21983,Q001 - Study Group,subject,Visit 19,Standard Arm
21983,Q001 - Study Group,subject,Visit 43,Standard Arm
21983,Q001 - Study Group,subject,Visit 20,Standard Arm
21983,Q001 - Study Group,subject,Visit 44,Standard Arm
21983,Q001 - Study Group,subject,Visit 21,Standard Arm
21983,Q001 - Study Group,subject,Visit 45,Standard Arm
21983,Q001 - Study Group,subject,Visit 46,Standard Arm
21983,Q001 - Study Group,subject,Visit 47,Standard Arm
21983,Q001 - Study Group,subject,Visit 48,Standard Arm
21983,Q001 - Study Group,subject,Visit 49,Standard Arm
21983,Q001 - Study Group,subject,Visit 50,Standard Arm
21983,Q001 - Study Group,subject,Visit 51,Standard Arm
21983,Q001 - Study Group,subject,Visit 52,Standard Arm
21983,Q001 - Study Group,subject,Visit 53,Standard Arm
21983,Q001 - Study Group,subject,Visit 54,Standard Arm
21983,Q001 - Study Group,subject,Visit 55,Standard Arm
21983,Q001 - Study Group,subject,Visit 56,Standard Arm
21983,Q001 - Study Group,subject,Visit 57,Standard Arm
21983,Q001 - Study Group,subject,Visit 58,Standard Arm
21983,Q001 - Study Group,subject,Visit 59,Standard Arm
21983,Q001 - Study Group,subject,Visit 60,Standard Arm
21983,Q001 - Study Group,subject,Visit 61,Standard Arm
21983,Q001 - Study Group,subject,Visit 62,Standard Arm
21983,Q001 - Study Group,subject,Visit 63,Standard Arm
21983,Q001 - Study Group,subject,Visit 64,Standard Arm
21983,Q001 - Study Group,subject,Visit 65,Standard Arm
21983,Q001 - Study Group,subject,Visit 66,Standard Arm
21983,Q001 - Study Group,subject,Visit 67,Standard Arm
21983,Q001 - Study Group,subject,Visit 68,Standard Arm
21983,Q001 - Study Group,subject,Visit 69,Standard Arm
21983,Q001 - Study Group,subject,Visit 70,Standard Arm
21983,Q001 - Study Group,subject,Visit 71,Standard Arm
21983,Q001 - Study Group,subject,Visit 72,Standard Arm
21983,Q001 - Study Group,subject,Visit 73,Standard Arm
21983,Q001 - Study Group,subject,Visit 74,Standard Arm
21983,Q001 - Study Group,subject,Visit 75,Standard Arm
21983,Q001 - Study Group,subject,Visit 76,Standard Arm
21983,Q001 - Study Group,subject,Visit 77,Standard Arm
21983,Q001 - Study Group,subject,Visit 78,Standard Arm
21983,Q001 - Study Group,subject,Visit 79,Standard Arm
21983,Q001 - Study Group,subject,Visit 80,Standard Arm
21983,Q001 - Study Group,subject,Visit 81,Standard Arm
21983,Q001 - Study Group,subject,Visit 82,Standard Arm
21983,Q001 - Study Group,subject,Visit 83,Standard Arm
21983,Q001 - Study Group,subject,Visit 84,Standard Arm
21983,Q001 - Study Group,subject,Visit 85,Standard Arm
21983,Q001 - Study Group,subject,Visit 86,Standard Arm
21983,Q001 - Study Group,subject,Visit 87,Standard Arm
21983,Q001 - Study Group,subject,Visit 88,Standard Arm
21983,Q001 - Study Group,subject,Visit 89,Standard Arm
21983,Q001 - Study Group,subject,Visit 90,Standard Arm
21983,Q001 - Study Group,subject,Visit 91,Standard Arm
21983,Q001 - Study Group,subject,Visit 92,Standard Arm
21983,Q001 - Study Group,subject,Visit 93,Standard Arm
21983,Q001 - Study Group,subject,Visit 94,Standard Arm
21983,Q001 - Study Group,subject,Visit 95,Standard Arm
21983,Q001 - Study Group,subject,Visit 96,Standard Arm
21983,Q001 - Study Group,subject,Visit 97,Standard Arm
21983,Q001 - Study Group,subject,Visit 98,Standard Arm
21983,Q001 - Study Group,subject,Visit 99,Standard Arm
21983,Q001 - Study Group,subject,Visit 100,Standard Arm
21983,Q001 - Study Group,subject,Visit 101,Standard Arm
21983,Q001 - Study Group,subject,Visit 102,Standard Arm
21983,Q001 - Study Group,subject,Visit 103,Standard Arm
21983,Q001 - Study Group,subject,Visit 104,Standard Arm
21983,Q001 - Study Group,subject,Visit 105,Standard Arm
21983,Q001 - Study Group,subject,Visit 106,Standard Arm
21983,Q001 - Study Group,subject,Visit 107,Standard Arm
21983,Q001 - Study Group,subject,Visit 108,Standard Arm
21983,Q001 - Study Group,subject,Visit 109,Standard Arm
21983,Q001 - Study Group,subject,Visit 110,Standard Arm
21983,Q001 - Study Group,subject,Visit 111,Standard Arm
21983,Q001 - Study Group,subject,Visit 112,Standard Arm
21983,Q001 - Study Group,subject,Visit 113,Standard Arm
21983,Q001 - Study Group,subject,Visit 114,Standard Arm
21983,Q001 - Study Group,subject,Visit 115,Standard Arm
21983,Q001 - Study Group,subject,Visit 116,Standard Arm
21983,Q001 - Study Group,subject,Visit 117,Standard Arm
21983,Q001 - Study Group,subject,Visit 118,Standard Arm
21983,Q001 - Study Group,subject,Visit 119,Standard Arm
21983,Q001 - Study Group,subject,Visit 120,Standard Arm
21983,Q001 - Study Group,subject,Visit 121,Standard Arm
21983,Q001 - Study Group,subject,Visit 122,Standard Arm
21983,Q001 - Study Group,subject,Visit 123,Standard Arm
21983,Q001 - Study Group,subject,Visit 124,Standard Arm
21983,Q001 - Study Group,subject,Visit 125,Standard Arm
21983,Q001 - Study Group,subject,Visit 126,Standard Arm
21983,Q001 - Study Group,subject,Visit 127,Standard Arm
21983,Q001 - Study Group,subject,Visit 128,Standard Arm
21983,Q001 - Study Group,subject,Visit 129,Standard Arm
21983,Q001 - Study Group,subject,Visit 130,Standard Arm
21983,Q001 - Study Group,subject,Visit 131,Standard Arm
21983,Q001 - Study Group,subject,Visit 132,Standard Arm
21983,Q001 - Study Group,subject,Visit 133,Standard Arm
21983,Q001 - Study Group,subject,Visit 134,Standard Arm
21983,Q001 - Study Group,subject,Visit 135,Standard Arm
21983,Q001 - Study Group,subject,Visit 136,Standard Arm
21983,Q001 - Study Group,subject,Visit 137,Standard Arm
21983,Q001 - Study Group,subject,Visit 138,Standard Arm
21983,Q001 - Study Group,subject,Visit 139,Standard Arm
21983,Q001 - Study Group,subject,Visit 140,Standard Arm
21983,Q001 - Study Group,subject,Visit 141,Standard Arm
21983,Q001 - Study Group,subject,Visit 142,Standard Arm
21983,Q001 - Study Group,subject,Visit 143,Standard Arm
21983,Q001 - Study Group,subject,Visit 144,Standard Arm
21983,Q001 - Study Group,subject,Visit 145,Standard Arm
21983,Q001 - Study Group,subject,Visit 146,Standard Arm
21983,Q001 - Study Group,subject,Visit 147,Standard Arm
21983,Q001 - Study Group,subject,Visit 148,Standard Arm
21983,Q001 - Study Group,subject,Visit 149,Standard Arm
21983,Q001 - Study Group,subject,Visit 150,Standard Arm
21983,Q001 - Study Group,subject,Visit 151,Standard Arm
21983,Q001 - Study Group,subject,Visit 152,Standard Arm
21983,Q001 - Study Group,subject,Visit 153,Standard Arm
21983,Q001 - Study Group,subject,Visit 154,Standard Arm
21983,Q001 - Study Group,subject,Visit 155,Standard Arm
21983,Q001 - Study Group,subject,Visit 156,Standard Arm
21983,Q001 - Study Group,subject,Visit 157,Standard Arm
21983,Q001 - Study Group,subject,Visit 158,Standard Arm
21983,Q001 - Study Group,subject,Visit 159,Standard Arm
21983,Q001 - Study Group,subject,Visit 160,Standard Arm
21983,Q001 - Study Group,subject,Visit 161,Standard Arm
21983,Q001 - Study Group,subject,Visit 162,Standard Arm
21983,Q001 - Study Group,subject,Visit 163,Standard Arm
21983,Q001 - Study Group,subject,Visit 164,Standard Arm
21983,Q001 - Study Group,subject,Visit 165,Standard Arm
21983,Q001 - Study Group,subject,Visit 166,Standard Arm
21983,Q001 - Study Group,subject,Visit 167,Standard Arm
21983,Q001 - Study Group,subject,Visit 168,Standard Arm
21983,Q001 - Study Group,subject,Visit 169,Standard Arm
21983,Q001 - Study Group,subject,Visit 170,Standard Arm
21983,Q001 - Study Group,subject,Visit 171,Standard Arm
21983,Q001 - Study Group,subject,Visit 172,Standard Arm
21983,Q001 - Study Group,subject,Visit 173,Standard Arm
21983,Q001 - Study Group,subject,Visit 174,Standard Arm
21983,Q001 - Study Group,subject,Visit 175,Standard Arm
21983,Q001 - Study Group,subject,Visit 176,Standard Arm
21983,Q001 - Study Group,subject,Visit 177,Standard Arm
21983,Q001 - Study Group,subject,Visit 178,Standard Arm
21983,Q001 - Study Group,subject,Visit 179,Standard Arm
21983,Q001 - Study Group,subject,Visit 180,Standard Arm
21983,Q001 - Study Group,subject,Visit 181,Standard Arm
21983,Q001 - Study Group,subject,Visit 182,Standard Arm
21983,Q001 - Study Group,subject,Visit 183,Standard Arm
21983,Q001 - Study Group,subject,Visit 184,Standard Arm
21983,Q001 - Study Group,subject,Visit 185,Standard Arm
21983,Q001 - Study Group,subject,Visit 186,Standard Arm
21983,Q001 - Study Group,subject,Visit 187,Standard Arm
21983,Q001 - Study Group,subject,Visit 188,Standard Arm
21983,Q001 - Study Group,subject,Visit 189,Standard Arm
21983,Q001 - Study Group,subject,Visit 190,Standard Arm
21983,Q001 - Study Group,subject,Visit 191,Standard Arm
21983,Q001 - Study Group,subject,Visit 192,Standard Arm
21983,Q001 - Study Group,subject,Visit 193,Standard Arm
21983,Q001 - Study Group,subject,Visit 194,Standard Arm
21983,Q001 - Study Group,subject,Visit 195,Standard Arm
21983,Q001 - Study Group,subject,Visit 196,Standard Arm
21983,Q001 - Study Group,subject,Visit 197,Standard Arm
21983,Q001 - Study Group,subject,Visit 198,Standard Arm
21983,Q001 - Study Group,subject,Visit 199,Standard Arm
21983,Q001 - Study Group,site,lots of ugly unicode ????!????????,
21983,Q001 - Study Group,site,Pharmacy close-out fee,
21983,Q001 - Study Group,site,Pharmacy destruction fee,
21983,Q001 - Study Group,site,Pharmacy Fee: Fixed Cost,
21983,Q001 - Study Group,screen_failure,Screen Failure 1,Standard Arm
